cpu_usage,memory_usage,disk_usage,network_latency,application_state
86,14,47,4,good
58,7,9,12,good
71,37,72,17,good
53,82,38,20,good
100,55,99,3,good
66,46,99,9,good
50,89,18,5,good
96,9,63,20,good
91,77,18,16,good
7,48,75,8,good
33,40,61,16,good
34,82,12,19,good
95,29,24,16,bad
87,4,99,18,good
77,94,88,15,good
31,70,91,18,good
45,82,41,14,good
15,30,38,16,good
67,51,29,5,good
36,87,4,8,good
53,97,80,16,good
84,22,17,1,good
13,47,20,11,good
94,39,85,11,good
54,5,49,2,good
47,37,5,19,good
81,40,49,5,good
6,99,79,3,good
73,26,65,8,good
6,74,0,4,good
32,68,56,13,good
22,56,29,14,good
84,16,57,1,good
18,70,51,5,good
18,90,36,7,good
35,46,47,6,good
28,78,86,15,good
59,12,0,15,good
81,10,18,8,good
1,89,45,2,good
0,85,66,14,good
46,91,1,16,good
68,23,55,10,good
19,92,100,15,good
10,72,16,4,good
1,3,91,12,good
66,45,81,10,good
86,17,96,2,good
11,42,78,4,good
19,79,21,20,good
4,32,26,6,good
36,92,54,14,good
37,9,100,3,good
93,72,31,15,good
8,58,59,1,good
97,30,82,19,good
52,27,27,1,good
43,59,27,13,good
98,2,73,8,good
85,54,83,18,good
23,13,24,3,good
80,57,84,18,good
73,88,77,20,good
29,14,85,9,good
58,1,25,6,good
86,23,74,20,good
95,77,70,2,bad
80,63,16,4,good
80,70,81,18,good
13,99,6,7,good
8,23,55,11,good
39,26,63,5,good
65,36,19,8,good
24,93,37,11,good
72,90,74,20,good
21,38,57,20,good
3,62,15,15,good
25,78,50,3,good
57,25,26,7,good
28,64,50,8,good
97,3,74,11,good
86,28,15,10,good
36,0,86,20,good
74,49,59,9,good
69,85,75,15,good
17,10,39,20,good
84,73,66,5,good
41,58,1,15,good
99,61,47,4,good
40,80,51,5,good
37,35,23,15,good
33,55,92,17,good
16,89,97,8,good
36,20,83,19,good
24,12,81,9,good
75,8,77,10,good
86,10,81,5,good
85,74,1,10,good
84,69,64,1,good
26,0,19,4,good
56,69,33,5,good
30,76,40,7,good
5,85,40,5,good
90,55,74,20,good
39,30,90,8,good
97,85,22,17,good
11,36,37,1,good
52,46,43,18,good
70,90,66,12,good
9,77,61,3,good
44,46,11,20,good
16,68,29,14,good
25,57,94,16,good
84,35,86,18,good
91,31,64,10,good
61,97,40,15,good
45,63,19,10,good
63,70,5,1,good
1,41,74,19,good
53,47,98,2,good
64,73,3,13,good
50,80,92,16,good
52,29,9,8,good
35,20,50,3,good
25,59,92,19,good
28,12,37,14,good
20,0,0,11,good
10,64,7,12,good
39,32,80,11,good
10,37,82,11,good
35,24,62,18,good
58,25,32,10,good
38,76,14,16,good
98,58,30,8,good
53,91,20,6,good
97,32,2,19,good
54,100,65,13,good
23,40,34,15,good
21,29,40,13,good
68,56,58,1,good
55,48,15,2,good
32,47,55,13,good
35,71,44,2,good
19,48,58,11,good
82,46,49,13,good
98,55,84,10,good
80,64,11,15,good
61,11,91,1,good
97,68,11,14,good
72,87,32,10,good
25,5,83,18,good
65,88,48,11,good
72,64,20,7,good
72,24,59,15,good
39,0,51,3,good
16,31,53,2,good
0,2,38,8,good
88,48,48,8,good
60,18,63,11,good
42,59,99,16,good
41,28,85,2,good
24,49,25,5,good
38,1,70,7,good
34,72,6,20,good
2,55,71,13,good
100,16,61,2,good
43,59,89,3,good
50,35,87,9,good
93,60,23,10,good
97,16,39,13,good
11,48,75,13,good
18,75,46,5,good
100,59,7,7,good
43,19,53,17,good
58,49,8,15,good
48,2,2,5,good
60,42,53,7,good
16,56,20,2,good
73,49,94,18,good
56,67,47,10,good
54,80,46,1,good
46,49,87,14,good
11,36,67,19,good
61,45,83,16,good
79,41,62,19,good
87,14,15,6,good
82,32,73,12,good
7,79,89,3,good
94,10,92,7,good
20,19,4,3,good
80,23,10,17,good
86,63,28,15,good
100,79,78,19,bad
79,93,69,19,good
69,97,47,11,good
71,64,14,20,good
24,87,83,2,good
81,87,33,7,good
88,72,59,19,good
11,85,61,7,good
14,75,1,10,good
58,16,79,12,good
25,88,18,18,good
25,91,97,6,good
46,60,48,20,good
31,14,77,8,good
9,93,87,5,good
15,50,27,3,good
70,26,47,2,good
16,85,95,6,good
22,73,36,7,good
25,60,73,8,good
84,57,48,4,good
85,30,47,12,good
6,90,72,12,good
13,11,87,17,good
78,45,99,19,good
6,30,28,9,good
8,31,59,12,good
47,31,28,17,good
71,98,57,10,good
58,52,47,19,good
86,60,22,11,good
92,45,26,20,good
81,84,94,13,good
94,73,6,4,bad
93,79,48,15,good
38,6,53,12,good
98,3,67,10,good
17,90,77,7,good
58,51,41,2,good
16,88,73,7,good
13,30,58,8,good
30,74,43,19,good
23,83,97,6,good
98,35,25,8,good
59,53,22,20,good
44,53,72,4,good
97,16,100,20,good
2,74,7,9,good
36,29,52,5,good
42,98,13,6,good
39,21,70,19,good
89,42,6,12,good
54,26,8,5,good
86,36,2,5,good
38,45,77,18,good
14,34,16,6,good
3,3,43,9,good
92,79,85,11,good
85,79,45,14,good
24,84,89,2,good
12,25,57,14,good
81,99,27,19,good
32,18,13,10,good
15,80,8,5,good
41,44,25,4,good
65,25,1,7,good
54,21,74,13,good
98,57,80,10,good
41,62,33,10,good
33,27,18,4,good
29,64,38,16,good
12,43,81,15,good
12,99,12,11,good
17,42,4,19,good
31,36,49,3,good
95,65,22,15,good
98,16,87,16,good
38,39,28,14,good
45,37,71,5,good
28,84,25,17,good
61,60,78,18,good
92,8,56,19,good
61,76,0,1,good
56,74,27,9,good
15,60,61,14,good
55,79,46,20,good
9,15,77,20,good
29,1,97,11,good
24,71,58,2,good
83,42,30,20,good
4,41,69,5,good
64,76,48,15,good
93,56,4,12,good
48,80,30,14,good
2,87,36,11,good
44,66,78,9,good
13,29,14,20,good
29,12,51,8,good
67,18,68,12,good
17,6,91,3,good
61,8,96,15,good
36,82,10,8,good
24,53,42,7,good
47,85,69,17,good
64,81,22,12,good
52,60,39,20,good
78,86,62,18,good
72,1,1,18,good
14,49,78,15,good
48,74,86,3,good
87,30,85,19,good
67,32,72,15,good
11,77,46,16,good
58,79,29,17,good
36,10,15,1,good
60,32,58,11,good
100,6,46,6,good
42,30,29,9,good
69,47,8,20,good
38,46,64,16,good
55,77,58,6,good
62,91,63,12,good
45,52,7,19,good
87,79,51,13,good
10,18,17,13,good
61,80,90,4,good
76,89,81,9,good
97,5,95,14,good
24,48,57,14,good
70,72,48,17,good
51,49,31,5,good
3,80,47,19,good
58,94,44,2,good
71,11,53,13,good
19,22,99,11,good
92,53,99,2,good
62,68,84,1,good
53,99,45,3,good
73,58,95,12,good
97,35,30,7,good
56,2,36,1,good
89,57,15,9,good
40,87,45,18,good
2,54,45,20,good
5,56,77,6,good
4,16,87,9,good
4,38,88,8,good
53,89,60,18,good
46,67,45,15,good
86,54,50,1,good
48,44,61,14,good
8,75,34,18,good
98,0,80,19,good
19,20,41,19,good
60,82,44,10,good
34,20,67,20,good
49,51,74,6,good
81,81,46,17,good
61,42,78,14,good
16,51,29,13,good
87,66,23,8,good
2,43,65,10,good
31,31,42,9,good
98,9,33,5,good
12,63,22,4,good
88,78,60,6,good
72,68,94,6,good
67,67,36,13,good
13,27,12,4,good
100,52,96,8,good
97,50,70,5,good
10,52,95,2,good
55,3,6,9,good
66,78,41,11,good
91,16,37,20,good
28,66,51,20,good
8,73,43,11,good
66,46,63,7,good
24,55,12,14,good
97,22,87,6,good
75,17,27,4,good
41,0,95,6,good
8,34,81,3,good
78,63,97,6,good
39,57,97,3,good
24,94,0,1,good
4,58,42,18,good
10,0,41,4,good
58,2,94,6,good
97,66,49,17,good
87,36,59,18,good
78,82,0,6,good
37,28,50,2,good
71,88,15,12,good
4,32,38,12,good
47,99,14,4,good
89,60,32,16,good
17,92,86,20,good
69,89,52,10,good
36,3,97,10,good
59,13,16,7,good
47,90,88,14,good
76,32,5,7,good
27,21,30,12,good
68,47,68,11,good
76,2,39,17,good
80,86,29,11,good
39,84,68,3,good
44,22,75,19,good
95,67,6,4,good
61,20,12,8,good
92,100,3,14,good
57,42,49,20,good
66,94,2,14,good
55,84,11,16,good
39,25,64,15,good
97,40,26,12,good
39,98,49,16,good
90,37,76,20,good
76,87,16,19,good
32,10,71,5,good
5,28,31,12,good
87,59,83,5,good
18,66,50,10,good
79,64,16,17,good
39,60,33,15,good
91,18,34,8,good
96,45,98,8,good
58,48,23,8,good
58,21,53,10,good
47,77,17,20,good
40,56,49,13,good
12,13,45,16,good
44,43,47,9,good
88,15,32,16,good
52,96,86,10,good
41,76,88,3,good
99,11,100,14,good
62,54,26,13,good
26,50,0,4,good
37,38,84,4,good
59,32,58,6,good
6,32,9,19,good
4,28,94,11,good
44,68,24,8,good
57,69,83,14,good
30,30,56,8,good
22,79,65,14,good
41,30,14,7,good
9,88,27,18,good
31,45,12,12,good
52,96,13,14,good
29,76,65,15,good
38,51,33,18,good
30,9,98,12,good
81,87,100,10,good
99,73,24,12,good
1,40,53,8,good
77,94,78,6,good
76,76,11,19,good
92,2,8,1,good
11,58,30,13,good
38,51,77,16,good
65,33,92,18,good
95,48,52,12,good
12,27,42,5,good
45,82,37,13,good
26,86,41,8,good
16,95,71,6,good
94,12,47,3,good
97,96,66,20,good
59,97,65,4,good
63,96,15,12,good
87,68,82,13,good
34,66,93,2,good
69,60,15,19,good
82,59,30,4,good
29,70,57,13,good
70,23,27,19,good
73,62,3,8,good
95,85,9,8,good
97,60,50,16,good
62,22,17,11,good
27,29,46,18,good
59,59,31,4,good
78,17,29,1,good
93,95,35,1,good
36,55,8,14,good
92,52,35,4,good
21,6,28,11,good
67,96,15,18,good
19,68,91,16,good
95,91,20,17,bad
99,71,63,2,good
67,78,65,4,good
90,51,58,3,good
63,3,98,15,good
16,33,27,2,good
11,68,54,19,good
21,32,99,9,good
16,68,30,10,good
9,37,32,19,good
64,97,86,5,good
21,25,59,14,good
89,0,40,10,good
81,3,80,16,good
49,38,45,6,good
13,53,48,8,good
63,89,64,2,good
46,32,41,18,good
28,32,22,20,good
75,71,26,8,good
35,19,88,5,good
98,15,31,17,good
51,20,82,16,good
75,44,87,5,good
6,89,2,17,good
28,86,59,4,good
10,81,75,1,good
32,61,98,6,good
5,30,78,1,good
78,41,16,4,good
31,11,31,2,good
50,64,6,13,good
74,72,82,14,good
57,2,70,17,good
86,89,68,11,good
25,8,57,3,good
97,50,39,7,good
45,15,84,10,good
97,87,47,11,good
28,77,50,10,good
3,2,56,8,good
80,97,70,5,good
98,96,36,2,good
12,23,86,15,good
38,72,74,16,good
14,12,73,4,good
28,1,84,16,good
28,70,54,12,good
74,20,40,14,good
31,18,96,12,good
1,88,19,16,good
46,46,32,16,good
77,21,39,12,good
83,74,98,2,good
21,32,33,14,good
74,31,61,11,good
26,63,99,9,good
66,84,90,7,good
80,38,18,12,good
55,83,42,17,good
91,71,68,9,good
92,41,62,6,good
20,100,92,12,good
46,8,9,20,good
79,24,12,10,good
100,88,92,9,good
58,96,4,12,good
83,1,57,1,good
5,18,58,2,good
18,19,75,19,good
56,92,58,1,good
68,69,76,16,good
2,16,85,16,good
0,88,14,18,good
57,67,76,18,good
37,93,0,13,good
14,83,37,12,good
33,2,52,9,good
60,86,51,5,good
34,50,0,9,good
63,81,10,13,good
24,25,57,16,good
23,55,39,10,good
11,99,85,16,good
17,63,98,14,good
14,7,59,2,good
79,80,43,19,good
26,94,5,11,good
71,36,27,19,good
59,96,30,11,good
45,26,7,14,good
88,44,4,15,good
16,3,53,7,good
92,85,16,15,good
52,89,37,8,good
7,95,8,4,good
78,87,73,18,good
26,98,83,14,good
45,36,77,18,good
49,95,13,4,good
70,70,25,2,good
2,32,92,6,good
92,30,61,11,good
63,54,90,1,good
43,11,24,15,good
52,10,79,12,good
23,87,35,18,good
59,71,97,5,good
2,31,79,11,good
19,56,32,19,good
45,37,2,1,good
14,59,86,17,good
24,85,10,8,good
93,97,57,16,good
77,18,63,11,good
70,83,17,19,good
16,55,46,11,good
83,13,43,15,good
99,32,92,8,good
8,9,58,14,good
37,79,49,1,good
47,63,68,10,good
59,63,87,7,good
62,61,28,18,good
85,67,92,12,good
1,90,89,2,good
87,91,66,18,good
71,42,1,7,good
10,79,24,20,good
63,58,18,12,good
76,51,39,20,good
80,96,1,14,good
71,18,82,10,good
20,20,64,9,good
17,21,61,15,good
93,8,90,20,good
63,8,53,10,good
81,72,44,19,good
94,26,48,19,good
37,16,98,12,good
31,43,68,12,good
10,44,37,9,good
44,7,3,20,good
88,79,16,4,good
32,17,52,1,good
40,32,84,16,good
7,0,52,1,good
10,75,30,13,good
85,5,21,3,good
50,40,10,12,good
87,54,33,9,good
40,4,14,4,good
16,58,9,2,good
75,79,95,9,good
45,17,52,20,good
31,48,47,13,good
78,81,30,14,good
79,64,36,3,good
53,82,27,18,good
85,53,30,9,good
91,60,69,15,good
19,7,13,10,good
32,2,86,17,good
73,24,15,13,good
39,68,24,1,good
31,54,38,11,good
96,39,65,5,good
1,82,37,9,good
96,81,40,7,good
32,49,97,7,good
76,94,39,2,good
29,32,63,19,good
32,17,88,20,good
76,56,99,18,good
25,15,15,10,good
21,79,81,5,good
65,37,76,16,good
37,40,58,5,good
89,6,100,15,good
45,77,90,16,good
14,52,97,4,good
97,62,10,14,good
43,88,0,17,good
48,31,12,17,good
74,37,29,16,good
60,21,68,9,good
66,15,17,2,good
5,51,77,11,good
8,28,12,15,good
5,15,31,3,good
72,75,70,16,good
94,16,71,19,good
31,100,49,6,good
40,63,70,14,good
75,90,79,5,good
7,88,30,5,good
71,12,50,6,good
49,71,26,18,good
91,55,59,18,good
61,4,32,19,good
83,11,52,2,good
61,40,92,17,good
6,2,71,1,good
74,98,32,9,good
83,32,40,13,good
79,85,18,4,good
3,49,84,5,good
5,55,40,18,good
57,8,84,10,good
21,81,88,4,good
25,49,41,13,good
2,28,22,13,good
40,38,74,17,good
59,90,32,8,good
13,99,19,4,good
74,44,24,3,good
81,16,89,11,good
11,55,51,12,good
86,97,11,9,good
11,45,31,15,good
12,66,32,13,good
24,68,73,5,good
44,13,67,5,good
18,66,14,19,good
54,22,50,11,good
99,93,5,9,good
44,60,90,3,good
7,22,68,18,good
92,26,68,13,good
52,53,81,12,good
54,9,91,9,good
31,88,34,10,good
50,76,85,13,good
43,15,33,20,good
81,40,62,20,good
69,97,67,13,good
17,54,17,9,good
82,100,25,10,good
21,60,85,19,good
36,85,96,6,good
95,80,60,7,good
55,86,77,15,good
58,99,94,19,good
2,48,73,14,good
27,72,87,16,good
73,51,84,14,good
34,1,47,20,good
60,95,71,2,good
92,49,95,9,good
53,85,30,3,good
62,42,33,6,good
78,76,86,5,good
96,7,88,14,good
6,58,6,15,good
75,64,82,18,good
48,80,6,17,good
93,11,46,9,good
84,3,7,19,good
30,76,77,9,good
57,94,0,16,good
60,40,76,6,good
23,6,2,8,good
19,86,52,3,good
36,87,91,5,good
3,68,37,7,good
91,68,50,1,good
19,80,14,4,good
59,29,99,16,good
23,72,66,14,good
49,5,63,1,good
48,88,67,4,good
50,18,4,10,good
95,79,89,11,good
35,84,88,7,good
97,65,9,4,good
99,9,7,1,bad
65,15,11,1,good
78,36,63,17,good
33,78,58,10,good
35,76,66,5,good
5,76,90,7,good
38,31,49,8,good
41,46,22,2,good
57,71,39,9,good
11,42,96,4,good
2,81,77,12,good
17,35,86,11,good
39,25,94,5,good
20,9,76,12,good
14,30,75,4,good
96,96,98,13,good
98,28,17,1,good
25,4,20,18,good
7,76,0,4,good
99,0,37,4,good
93,86,40,8,good
86,2,41,20,good
41,66,8,6,good
43,70,22,4,good
13,99,77,4,good
77,34,10,11,good
1,14,70,9,good
36,66,30,14,good
68,92,87,4,good
37,29,25,13,good
40,81,29,6,good
61,74,33,13,good
59,42,45,3,good
13,59,68,7,good
88,39,4,1,good
83,64,60,11,good
1,28,82,2,good
69,73,37,5,good
16,91,27,14,good
88,94,25,13,good
27,18,60,16,good
65,2,22,15,good
34,35,45,3,good
100,42,29,6,good
4,14,66,9,good
64,96,91,3,good
39,40,32,13,good
75,89,2,13,good
55,79,68,7,good
35,35,82,5,good
44,96,41,8,good
22,83,61,8,good
46,76,57,7,good
30,32,56,19,good
10,4,0,7,good
9,100,72,4,good
66,77,59,10,good
13,90,68,13,good
79,86,58,4,good
73,13,45,19,good
92,67,33,10,good
9,82,100,7,good
75,46,96,5,good
93,53,24,3,good
0,3,41,2,good
4,93,28,11,good
19,82,24,10,good
7,94,53,13,good
42,94,72,7,good
75,8,66,10,good
0,52,14,4,good
56,76,3,20,good
63,77,37,16,good
83,59,19,20,good
27,45,22,6,good
36,53,36,9,good
46,73,61,13,good
100,94,7,7,good
75,36,36,18,good
36,22,44,14,good
48,26,96,5,good
43,69,32,13,good
55,89,6,8,good
27,65,21,15,good
78,60,4,19,good
5,76,14,9,good
60,50,20,6,good
19,49,88,14,good
77,18,16,10,good
1,0,55,9,good
72,39,49,17,good
36,31,6,13,good
19,21,49,17,good
25,92,59,19,good
28,65,82,13,good
0,39,6,9,good
34,37,39,1,good
69,47,44,1,good
100,54,58,5,good
58,74,87,8,good
68,80,74,18,good
32,54,54,4,good
50,50,63,1,good
77,59,64,15,good
11,7,53,20,good
19,85,95,4,good
52,67,39,9,good
87,74,52,20,good
42,71,43,10,good
97,8,62,15,good
88,89,1,3,good
49,1,78,2,good
28,79,20,5,good
56,94,87,1,good
38,69,49,11,good
94,84,80,12,good
55,89,51,3,good
42,58,8,16,good
49,18,98,14,good
22,27,19,12,good
43,71,82,20,good
37,13,17,16,good
83,23,83,8,good
22,43,29,17,good
44,100,64,17,good
51,55,23,7,good
79,89,87,15,good
49,94,46,9,good
7,50,82,4,good
84,31,93,8,good
0,49,89,10,good
7,40,43,15,good
28,65,28,18,good
95,24,76,14,good
4,60,67,5,good
85,65,16,9,good
46,41,96,13,good
33,64,4,19,good
64,35,91,11,good
54,75,87,12,good
89,8,80,3,good
42,35,49,2,good
73,91,39,15,good
29,37,45,5,good
81,32,50,7,good
16,41,10,4,good
25,60,11,5,good
7,45,12,16,good
46,85,63,15,good
75,88,7,16,good
90,60,64,4,good
71,17,8,6,good
88,69,91,18,good
45,81,1,3,good
67,79,77,5,good
32,14,12,2,good
0,47,1,16,good
18,71,67,6,good
30,12,75,15,good
79,42,47,18,good
13,59,73,6,good
52,56,2,13,good
47,70,67,13,good
68,16,5,1,good
89,49,86,16,good
61,31,4,4,good
91,21,2,17,bad
65,54,9,18,good
63,56,42,16,good
69,12,18,1,good
62,46,13,6,good
72,86,20,11,good
32,61,42,6,good
40,53,27,17,good
88,28,20,4,good
47,21,35,14,good
12,64,23,14,good
72,28,53,20,good
76,47,37,8,good
30,4,16,2,good
74,34,21,5,good
67,73,82,4,good
97,82,44,10,good
3,100,73,20,good
18,70,60,3,good
69,45,10,16,good
97,34,60,10,good
81,44,37,15,good
12,12,65,4,good
22,9,32,1,good
82,65,42,15,good
74,69,30,10,good
0,71,34,20,good
87,99,36,18,good
53,24,46,16,good
70,43,99,9,good
88,59,22,19,good
84,46,35,17,good
14,39,39,10,good
64,6,89,19,good
75,45,88,8,good
70,22,80,19,good
14,82,14,5,good
20,45,36,2,good
18,85,3,15,good
59,12,21,17,good
92,20,80,10,good
88,0,21,2,good
32,18,80,9,good
48,59,77,2,good
95,32,77,18,good
34,3,16,12,good
43,2,71,15,good
89,90,97,20,good
10,51,89,6,good
98,98,93,18,good
71,27,85,13,good
77,69,79,4,good
73,69,93,12,good
65,54,79,9,good
45,56,37,2,good
8,86,23,16,good
2,96,99,1,good
84,15,98,4,good
25,23,5,15,good
71,68,67,20,good
47,40,81,1,good
65,76,5,20,good
69,46,25,15,good
27,75,100,3,good
92,68,90,13,good
25,100,40,18,good
24,30,74,13,good
11,91,37,10,good
4,91,79,20,good
97,29,82,7,good
47,17,42,8,good
36,43,52,1,good
78,26,14,18,good
43,98,89,12,good
99,25,55,18,good
14,59,55,12,good
42,17,30,20,good
47,96,82,9,good
86,88,56,2,good
69,55,50,14,good
45,30,23,4,good
42,100,57,15,good
20,58,72,17,good
22,1,86,19,good
79,96,3,6,good
46,38,9,9,good
14,60,62,17,good
24,62,72,15,good
35,95,82,5,good
74,17,14,18,good
50,16,97,4,good
14,97,62,2,good
67,38,18,19,good
20,70,62,5,good
12,53,55,4,good
85,98,20,5,good
18,93,33,19,good
33,75,16,13,good
77,34,17,16,good
67,10,80,12,good
51,60,65,9,good
26,43,50,16,good
28,67,64,14,good
27,24,42,1,good
34,47,56,20,good
7,31,9,4,good
15,83,36,9,good
35,94,47,19,good
29,3,68,14,good
17,37,55,12,good
1,62,75,4,good
48,46,35,7,good
76,0,30,17,good
3,2,54,1,good
89,100,37,14,good
88,85,72,15,good
93,61,89,12,good
74,63,14,12,good
6,16,15,6,good
94,77,76,13,good
73,61,88,16,good
38,34,93,14,good
12,12,52,7,good
30,34,55,16,good
70,42,6,9,good
62,1,56,14,good
55,55,54,7,good
41,76,51,12,good
60,50,3,3,good
41,53,42,14,good
55,15,39,19,good
35,17,29,11,good
83,6,9,5,good
67,44,93,13,good
6,35,6,10,good
53,40,35,7,good
0,93,34,17,good
43,41,87,16,good
44,6,38,8,good
46,14,35,17,good
12,59,19,13,good
21,39,48,11,good
20,82,95,20,good
85,36,58,18,good
91,65,48,5,good
8,54,89,6,good
25,76,25,20,good
8,94,35,14,good
14,79,42,12,good
9,55,98,4,good
87,43,42,7,good
41,56,98,11,good
71,5,75,20,good
23,91,32,2,good
79,31,99,4,good
48,73,77,7,good
25,17,96,1,good
90,67,44,15,good
36,72,44,20,good
67,6,87,8,good
49,7,14,5,good
23,63,94,14,good
18,6,16,18,good
99,40,11,3,good
59,39,21,2,good
38,2,22,16,good
73,16,89,14,good
88,65,77,16,good
17,78,11,11,good
18,92,67,17,good
35,51,50,3,good
73,21,12,5,good
96,3,56,3,good
54,5,54,15,good
68,37,81,5,good
46,25,27,3,good
48,10,43,6,good
98,89,18,14,good
97,16,45,2,good
32,87,2,18,good
20,91,82,6,good
80,98,19,5,good
21,30,24,14,good
47,76,74,17,good
36,34,55,11,good
14,15,80,1,good
34,78,60,10,good
91,17,54,9,good
70,100,34,20,good
31,61,77,12,good
10,26,58,1,good
9,34,38,18,good
72,44,56,12,good
77,34,82,2,good
76,27,66,1,good
56,8,33,1,good
24,75,40,1,good
1,14,21,12,good
63,20,26,7,good
34,51,20,4,good
6,34,40,20,good
84,96,30,4,good
17,50,26,15,good
66,82,36,1,good
41,54,65,6,good
38,86,53,14,good
40,76,8,14,good
74,43,82,10,good
23,64,41,7,good
59,92,35,12,good
45,87,9,19,good
18,79,58,9,good
67,24,39,3,good
89,86,53,4,good
41,91,38,13,good
31,46,6,10,good
38,79,3,14,good
35,55,14,6,good
100,37,75,8,good
96,10,47,19,good
35,66,5,10,good
2,14,72,5,good
72,0,34,5,good
7,6,71,5,good
96,0,70,9,good
69,48,67,9,good
40,95,57,15,good
67,72,76,9,good
12,28,18,14,good
48,25,61,6,good
59,86,70,20,good
1,44,9,8,good
59,92,24,2,good
4,96,43,5,good
43,70,98,17,good
26,11,57,10,good
31,94,24,14,good
20,31,92,18,good
7,19,75,1,good
71,50,39,2,good
49,80,75,4,good
66,35,69,13,good
43,66,9,16,good
57,0,65,5,good
2,26,24,10,good
85,39,70,17,good
69,96,86,11,good
1,83,10,5,good
86,13,35,15,good
43,99,48,4,good
1,68,47,7,good
80,86,86,10,good
34,78,6,4,good
97,5,90,20,good
86,32,76,5,good
29,54,50,5,good
7,18,16,11,good
21,76,31,19,good
43,28,25,5,good
57,60,21,8,good
35,69,12,7,good
68,78,11,8,good
76,79,70,13,good
92,23,0,5,good
30,22,32,18,good
46,9,13,9,good
54,53,63,2,good
79,40,42,16,good
61,48,57,14,good
29,16,40,17,good
54,55,80,6,good
15,44,67,3,good
11,29,38,17,good
16,43,0,13,good
15,73,40,6,good
11,54,44,8,good
7,18,87,6,good
83,28,97,16,good
2,1,97,6,good
15,35,87,17,good
29,18,78,3,good
22,6,80,12,good
91,25,12,6,good
4,78,70,7,good
83,37,8,11,good
64,2,62,9,good
29,79,98,16,good
20,65,22,5,good
83,94,53,15,good
69,91,46,4,good
21,70,38,5,good
81,93,86,7,good
71,42,25,3,good
31,61,0,4,good
32,70,13,15,good
15,99,95,2,good
75,92,73,5,good
37,23,64,7,good
97,38,68,17,good
13,67,66,8,good
35,92,48,9,good
96,43,49,10,good
22,4,57,11,good
65,54,52,1,good
84,92,90,15,good
1,29,56,8,good
90,28,85,19,good
72,25,17,12,good
64,82,15,6,good
74,25,1,10,good
66,36,12,5,good
51,90,44,7,good
61,93,79,7,good
22,52,71,9,good
25,29,42,15,good
67,2,71,6,good
81,42,53,16,good
54,6,73,7,good
5,48,96,15,good
34,72,30,2,good
21,40,75,8,good
42,76,8,12,good
14,78,100,11,good
85,53,72,6,good
59,68,47,20,good
100,92,17,13,good
11,98,93,16,good
48,90,95,8,good
41,26,86,17,good
37,7,10,13,good
81,31,61,4,good
44,83,83,20,good
34,63,18,10,good
29,9,99,20,good
87,12,89,16,good
29,62,73,17,good
77,92,23,8,good
5,34,12,11,good
66,60,45,5,good
79,53,52,16,good
6,7,97,8,good
51,28,28,16,good
13,94,35,4,good
72,40,70,6,good
14,29,93,8,good
20,85,16,9,good
34,20,47,13,good
65,75,76,17,good
90,10,23,9,good
1,1,53,13,good
34,49,94,9,good
81,40,90,6,good
77,65,84,10,good
19,97,0,5,good
81,2,78,7,good
9,79,66,11,good
24,50,5,9,good
65,67,77,10,good
24,86,54,11,good
53,83,37,3,good
32,24,32,8,good
35,29,7,17,good
94,81,89,7,good
13,10,78,12,good
64,92,77,16,good
79,16,19,15,good
53,25,54,13,good
51,22,47,18,good
2,55,82,18,good
98,51,55,5,good
40,47,96,14,good
5,19,99,11,good
24,1,87,3,good
12,87,9,17,good
97,30,51,12,good
7,26,49,3,good
20,1,33,2,good
97,77,35,4,good
67,3,60,18,good
24,12,99,20,good
78,99,15,14,good
67,34,78,8,good
44,71,17,2,good
59,65,70,19,good
11,5,46,10,good
31,30,85,5,good
95,9,31,11,good
91,20,42,9,good
12,73,82,16,good
30,22,39,5,good
77,2,64,15,good
19,31,34,14,good
17,19,68,9,good
92,73,49,20,good
59,28,11,5,good
62,51,75,15,good
5,45,84,9,good
31,33,57,4,good
92,100,82,4,good
42,83,62,20,good
1,60,72,7,good
59,71,48,15,good
22,70,35,17,good
82,69,53,18,good
30,10,46,7,good
4,81,31,19,good
82,92,98,10,good
33,88,94,13,good
9,62,52,2,good
88,20,31,20,good
1,2,61,11,good
10,81,36,5,good
49,87,95,6,good
30,9,100,3,good
55,26,37,1,good
78,11,29,3,good
72,6,57,3,good
86,16,31,4,good
82,64,65,7,good
8,63,50,15,good
98,25,10,11,good
20,14,58,18,good
72,32,19,12,good
27,61,36,4,good
61,100,72,11,good
6,46,48,6,good
79,94,18,19,good
15,34,54,18,good
96,64,39,15,good
3,71,6,3,good
3,75,4,17,good
39,82,41,1,good
16,24,87,2,good
100,56,47,19,good
51,31,6,9,good
92,62,10,8,good
51,11,72,12,good
35,62,48,15,good
37,76,29,7,good
49,91,40,16,good
62,0,2,7,good
100,50,85,20,good
62,69,39,12,good
61,7,50,17,good
98,67,83,11,good
6,4,31,4,good
26,88,47,19,good
91,85,70,2,good
85,91,70,2,good
13,38,19,17,good
70,22,88,9,good
100,67,34,1,good
85,51,23,10,good
4,3,39,15,good
54,46,76,15,good
1,20,51,2,good
61,100,38,14,good
90,55,67,4,good
20,65,60,18,good
78,58,75,9,good
20,6,80,2,good
9,48,64,2,good
86,15,61,18,good
57,16,80,17,good
38,83,1,9,good
4,86,5,8,good
64,97,74,2,good
12,74,42,2,good
84,33,81,5,good
89,32,39,12,good
84,25,88,16,good
